user_id_1,user_id_2,group,is_match
79,91,1,1
716,353,1,1
423,677,0,0
658,165,1,1
969,155,0,1
227,162,0,0
435,16,1,0
602,327,1,0
223,295,0,0
133,463,1,1
825,388,0,0
265,272,1,0
696,707,0,0
33,659,0,0
802,15,0,0
287,728,0,1
116,910,0,1
774,930,1,0
61,644,1,1
279,164,0,0
324,848,0,0
416,676,1,1
157,841,1,0
801,513,0,0
197,534,0,1
317,55,1,1
511,781,0,0
617,549,1,0
708,501,1,0
170,67,1,1
748,264,1,0
832,803,0,1
93,343,0,0
54,810,1,1
783,498,0,0
445,452,1,1
491,240,0,1
361,449,1,0
465,642,1,1
190,482,1,0
24,2,1,1
359,941,1,0
467,509,1,0
843,879,1,1
482,267,1,1
752,979,1,0
370,399,0,0
723,383,1,1
861,791,1,0
86,127,0,0
93,912,0,1
176,309,1,0
836,580,1,1
732,546,1,1
765,671,0,0
466,395,0,0
576,837,0,0
476,231,0,1
356,918,1,0
413,216,0,1
759,499,0,0
50,971,0,0
454,773,1,0
941,928,1,1
179,852,1,0
827,819,1,0
47,699,1,0
731,91,1,1
363,533,0,0
332,711,0,0
119,814,1,1
281,218,0,0
54,32,1,1
865,928,1,0
639,460,1,0
838,331,1,0
431,752,1,0
344,478,1,1
275,236,1,0
977,919,1,0
479,585,1,1
105,106,1,1
351,585,1,0
760,758,1,0
117,727,0,1
884,296,1,0
594,565,0,0
144,146,1,0
506,326,1,0
389,618,1,0
359,126,1,1
686,934,1,0
783,270,0,0
536,825,0,0
307,630,1,0
528,365,1,1
579,963,1,0
446,848,0,0
259,688,0,0
984,781,0,0
872,253,1,1
41,872,1,0
257,25,1,1
652,159,0,1
668,112,1,0
387,866,1,0
653,55,1,0
850,557,1,0
763,983,0,1
873,175,1,0
102,346,0,0
760,486,1,0
5,289,1,1
152,966,1,1
894,723,1,0
50,959,0,1
887,534,0,0
532,543,1,0
454,827,1,0
611,957,1,1
791,560,1,0
34,543,1,0
327,730,1,1
312,823,1,0
119,344,1,0
952,811,0,0
387,47,1,0
468,247,0,0
876,931,1,0
571,794,1,0
677,938,0,0
994,990,0,1
172,567,1,0
604,411,0,1
868,215,0,0
114,300,1,0
467,850,1,1
57,287,0,0
885,602,1,1
657,447,1,1
847,557,1,0
435,337,1,0
671,191,0,0
451,587,1,1
816,232,1,1
874,663,0,0
233,228,0,1
227,795,0,1
102,313,0,0
339,177,1,0
855,557,1,0
515,342,1,1
262,732,1,0
475,958,1,0
992,653,1,0
944,269,0,0
416,869,1,1
193,747,1,0
777,747,1,1
101,464,1,1
359,902,1,0
515,606,1,0
867,674,1,0
6,834,1,0
873,418,1,1
872,151,1,0
189,145,0,0
750,672,0,1
238,771,1,0
132,290,0,0
727,737,0,0
813,827,1,0
480,91,1,1
737,328,0,0
818,24,1,0
368,713,1,1
562,278,1,0
835,623,1,0
13,304,1,1
114,309,1,1
567,124,1,0
299,109,1,1
194,159,0,0
664,454,1,0
549,485,1,1
139,99,1,0
390,289,1,1
657,836,1,0
945,397,0,0
855,687,1,0
34,140,1,0
542,770,1,0
733,981,1,0
236,365,1,0
133,210,1,0
906,364,1,0
916,367,0,0
193,314,1,0
224,438,0,1
239,57,0,0
800,632,0,0
527,392,1,0
108,17,0,0
815,763,0,0
397,70,0,1
55,53,1,0
34,176,1,1
223,127,0,0
187,106,1,0
891,118,0,0
917,772,1,0
450,182,1,0
760,321,1,0
583,821,1,0
900,332,0,0
356,557,1,0
36,255,0,0
312,876,1,0
614,248,0,0
477,613,0,0
369,538,0,1
714,279,0,1
721,513,0,0
144,571,1,1
190,147,1,1
644,148,1,0
437,141,0,0
807,524,1,0
506,546,1,1
281,683,0,0
962,864,1,1
67,361,1,0
4,920,0,0
501,993,1,0
878,745,0,0
415,340,1,0
238,391,1,1
933,461,0,0
641,638,1,1
626,792,0,0
504,750,0,0
183,877,0,1
378,715,0,0
341,322,0,0
183,30,0,0
231,245,0,0
763,662,0,0
923,81,0,0
497,912,0,0
327,560,1,0
115,262,1,0
236,804,1,0
642,724,1,0
798,492,1,0
556,108,0,1
830,892,0,0
730,736,1,0
15,343,0,0
726,962,1,0
713,300,1,0
406,343,0,1
291,322,0,0
417,386,0,0
540,732,1,0
326,142,1,0
572,726,1,1
833,871,1,0
318,779,1,0
835,485,1,0
742,885,1,0
481,363,0,0
919,153,1,0
249,304,1,0
468,203,0,0
757,987,1,0
244,821,1,0
311,890,1,0
414,648,0,0
589,929,1,0
506,267,1,0
114,756,1,0
621,935,0,1
711,997,0,0
73,999,0,0
79,664,1,0
120,655,0,0
350,155,0,0
406,900,0,0
475,318,1,0
751,834,1,1
328,145,0,0
172,779,1,0
560,391,1,0
64,280,0,0
181,434,0,1
949,603,1,0
462,906,1,1
968,984,0,0
306,202,0,0
926,59,0,0
971,948,0,1
363,100,0,0
614,721,0,1
839,494,0,0
647,509,1,0
362,263,0,0
980,709,0,0
338,436,0,0
107,10,0,0
243,755,0,0
810,464,1,1
844,512,1,0
679,348,0,1
221,499,0,0
660,774,1,0
543,460,1,1
170,142,1,1
560,509,1,0
361,256,1,1
717,98,0,0
724,716,1,0
663,935,0,0
920,973,0,0
968,470,0,0
356,130,1,0
218,98,0,0
643,264,1,1
130,404,1,0
563,18,1,1
935,536,0,0
372,501,1,0
171,142,1,0
260,165,1,1
492,584,1,1
2,6,1,0
587,510,1,0
72,901,0,0
47,433,1,1
356,854,1,1
651,307,1,1
644,112,1,1
689,587,1,0
726,24,1,0
731,549,1,0
572,685,1,0
624,647,1,0
197,420,0,0
106,135,1,0
944,483,0,0
614,137,0,0
257,396,1,1
409,460,1,0
994,677,0,0
907,217,0,0
856,15,0,0
833,389,1,1
787,972,1,1
835,680,1,0
520,479,1,0
323,520,1,0
846,862,1,0
526,798,1,0
246,636,0,0
507,429,0,0
235,809,1,0
910,237,0,0
953,275,1,1
936,986,0,1
119,729,1,0
752,725,1,0
10,301,0,0
168,185,1,1
346,762,0,0
492,552,1,1
869,930,1,1
934,567,1,1
632,991,0,0
272,633,1,1
654,619,1,0
672,891,0,0
227,994,0,0
400,749,1,1
758,585,1,0
309,713,1,0
981,1000,1,0
225,310,1,0
52,624,1,0
681,821,1,0
1000,960,1,0
78,21,0,1
480,170,1,0
520,862,1,1
312,940,1,1
682,979,1,0
717,903,0,0
232,206,1,0
539,337,1,0
857,478,1,0
858,262,1,0
58,543,1,0
452,493,1,0
114,463,1,1
679,293,0,0
67,858,1,1
767,460,1,0
532,847,1,0
169,823,1,1
317,680,1,0
473,718,1,0
483,826,0,0
142,409,1,0
872,606,1,1
918,229,1,0
131,777,1,1
346,721,0,0
751,284,1,1
934,902,1,1
174,409,1,1
963,953,1,0
345,793,1,0
435,210,1,1
702,675,0,0
880,16,1,0
624,475,1,1
985,873,1,1
745,379,0,0
29,152,1,0
669,184,0,0
54,880,1,1
484,475,1,0
557,637,1,0
921,469,0,0
742,749,1,0
507,505,0,0
90,275,1,1
87,341,0,0
249,850,1,0
106,345,1,1
572,452,1,0
198,158,1,0
663,129,0,0
826,306,0,0
130,770,1,0
494,233,0,0
